HOLE-ID;ESTE_X;NORTE_Y;COTA_Z;LENGTH
ODH-01;189710.521;8439045.693;3805.32;147.25
ODH-02;189709.684;8439046.441;3805.314;68.3
ODH-03;189710.891;8439045.383;3805.318;189.45
ODH-04;189777.884;8439121.556;3765.665;100.05
ODH-05;189776.74;8439122.498;3765.729;130.65
ODH-06;189779.128;8439120.592;3765.741;125
ODH-07;189796.671;8438977.004;3761.083;177
ODH-08;189797.41;8438976.468;3761.146;178.9
ODH-09;189861.86;8438936.184;3730.094;88.25
ODH-10;189863.032;8438935.334;3730.081;96.15
ODH-11;189843.074;8439057.431;3745.868;105.7
ODH-12;189843.636;8439056.923;3745.869;100.3
ODH-13;189923.832;8438989.032;3711.469;53.2
ODH-14;189925.003;8438988.057;3711.321;71.9
ODH-15;189721.519;8438879.682;3727.579;95
ODH-16;189720.99;8438880.619;3727.637;129.25
ODH-17;189723.971;8438881.786;3727.728;195.4
ODH-18;189643.644;8438988.839;3769.147;106.75
ODH-19;189644.352;8438988.168;3769.13;177.2
ODH-20;189542.086;8438928.751;3676.116;188.4
ODH-21;189645.064;8438991.075;3769.439;133.05
ODH-22;189541.302;8438929.241;3676.257;145.5
ODH-23;189849.071;8439202.159;3703.583;155.45
ODH-24;189850.528;8439201.047;3703.512;116.8
ODH-25;189541.835;8438928.322;3676.148;95.6
ODH-26;189847.274;8439200.697;3703.662;85.25
ODH-27;189847.07;8439202.267;3703.668;81.6
ODH-28;189543.359;8438930.454;3676.281;118.4
ODH-29;189849.879;8439202.425;3703.626;103.75
ODH-30;189908.164;8439270.193;3666.743;154.75
ODH-31;189444.083;8438819.807;3637.783;94.8
ODH-32;189908.897;8439270.926;3666.734;94.15
ODH-33;189375.515;8438741.037;3629.704;411.6
ODH-34;189907.323;8439271.498;3666.821;96.9
ODH-35;189908.703;8439270.244;3666.692;108.45
ODH-36;189944.906;8439237.978;3646.165;60
ODH-37;189946.047;8439237.119;3645.978;49.5
ODH-38;189945.49;8439238.543;3645.984;73.2
ODH-39;189876.272;8439233.13;3686.522;126.5
ODH-40;189375.448;8438743.369;3629.843;241.35
ODH-41;189766.443;8439186.812;3741.698;217.55
ODH-42;189877.237;8439234.104;3686.456;129.1
ODH-43;189878.048;8439231.539;3686.432;112.25
ODH-44;189767.878;8439185.768;3741.83;115.6
ODH-45;189875.449;8439233.911;3686.619;135.25
ODH-46;189763.754;8439188.567;3741.497;77.3
ODH-47;189764.427;8439184.483;3741.701;105.35
ODH-48;189887.895;8439022.14;3730.586;74.2
ODH-49;189376.751;8438741.709;3629.645;171.75
ODH-50;189888.955;8439021.359;3730.25;78
ODH-51;189767.994;8439188.337;3741.69;193.85
ODH-52;189887.036;8439022.672;3730.354;155.3
ODH-53;189961.079;8438958.162;3690.54;34.2
ODH-54;189962.031;8438957.307;3690.47;202.15
ODH-55;189888.57;8439022.162;3730.533;101.25
ODH-56;189887.831;8439021.231;3730.475;86.95
ODH-57;189957.799;8438954.552;3690.297;46.1
ODH-58;189892.334;8439084.52;3709.923;72.8
ODH-59;189244.763;8438593.427;3694.437;214.45
ODH-60;189744.283;8439082.857;3799.541;147.85
ODH-61;189291.394;8438819.584;3676.786;212.8
ODH-62;189742.968;8439083.994;3799.432;123.05
ODH-63;189744.565;8439082.623;3799.535;128.25
ODH-64;189446.589;8438679.037;3606.979;114.9
ODH-65;189741.007;8439080.366;3799.768;187.75
ODH-66;189289.636;8438821.063;3676.976;207.85
ODH-67;189512.362;8438754.032;3602.417;246.5
ODH-69;189291.259;8438820.76;3677.027;183
ODH-70;189287.684;8438816.798;3677.026;415.4
ODH-71;189513.183;8438753.364;3602.428;74.85
ODH-72;189156.414;8438668.513;3737.868;404.5
ODH-73;189583.192;8438828.744;3626.288;236.1
ODH-74;189223.183;8438874.806;3704.248;121.75
ODH-75;189575.769;8438697.92;3577.861;128.1
ODH-76;189304.502;8438668.766;3651.3;427
ODH-77;189521.481;8438620.535;3566.8;52.4
ODH-78;189520.57;8438621.04;3566.932;50.7
ODH-79;189385.306;8438598.378;3599.344;231
ODH-80;190029.249;8439394.214;3616.939;116.85
ODH-81;189376.645;8438744.238;3629.841;118.15
ODH-82;190010.475;8439310.388;3600.408;87.2
ODH-83;189954.559;8439098.119;3692.474;25.1
ODH-84;189954.282;8439094.671;3692.51;27.1
ODH-85;189906.513;8439126.015;3698.812;65.2
ODH-86;189551.523;8438718.559;3587.191;124
ODH-87;189921.565;8439062.027;3712.199;62.05
ODH-88;189790.491;8438909.45;3744.388;62.2
ODH-89;189789.73;8438908.576;3744.394;41
ODH-90;189716.696;8438979.698;3770.337;146.75
ODH-91;189858.095;8438988.607;3739.358;66.2
ODH-92;189778.897;8439052.279;3776.214;103.75
ODH-93;189638.13;8439109.087;3806.668;93.15
ODH-94;189707.916;8439184.756;3767.906;106.5
ODH-95;189752.093;8438941.947;3757.518;154.55
ODH-96;189891.524;8438883.637;3696.467;50
ODH-97;189923.846;8438919.65;3705.14;50.55
ODH-98;189892.385;8438949.183;3722.78;62.4
ODH-99;189876.484;8439154.433;3697.036;103.5
ODH-100;189875.575;8439153.458;3697.158;52
ODH-101;189915.001;8439199.328;3673.438;84.1
ODH-102;189914.08;8439199.916;3673.399;53.8
ODH-103;189817.762;8439014.825;3756.346;121.05
ODH-104;189577.1;8439036.203;3755.26;131.25
ODH-105;189736.105;8439222.842;3738.601;97.8
ODH-106;189747.962;8439162.393;3764.148;122.25
ODH-107;189512.857;8438821.863;3624.435;228.4
ODH-108;189861.461;8438934.44;3730.388;93.5
ODH-109;189622.429;8438580.855;3515.525;30.2
ODH-110;189621.676;8438581.876;3515.719;26
ODH-111;189619.816;8438581.585;3515.832;38.8
ODH-112;189620.098;8438583.44;3516.119;30.6
ODH-113;189633.964;8438683.895;3548.71;43.2
ODH-114;189510.203;8438824.113;3624.735;64.55
ODH-115;189239.669;8438726.277;3695.317;390.5
ODH-116;189440.409;8438890.233;3664.914;157
ODH-117;189238.775;8438666.343;3691.906;291.4
ODH-118;189503.865;8438962.945;3683.969;128.3
ODH-119;189500.174;8438964.062;3683.957;96.9
ODH-120;189500.831;8438899.501;3653.064;190.6
ODH-121;189466.019;8438930.142;3667.178;330
